film_id,imdb_id,title,release_date,release_year,runtime_min,genres,budget_usd,domestic_gross_usd,intl_gross_usd,worldwide_gross_usd,imdb_rating,metascore,rt_critics,awards_raw,production_companies,seed_source,resolution_confidence,missing_fields
124461.0,tt2044729,A Glimpse Inside the Mind of Charles Swan III,2013-02-08,2013,86.0,Comedy|Drama,12000000.0,45350.0,165215.0,210565.0,4.6,28.0,16.0,1 nomination total,American Zoetrope|The Directors Bureau,wiki,search_exact,
122081.0,tt2101441,Spring Breakers,2013-03-06,2013,94.0,Drama|Crime,5000000.0,14124284.0,17891843.0,32016127.0,5.3,63.0,67.0,14 wins & 35 nominations total,Iconoclast|Rabbit Bandini Productions|Division Films|Muse Productions|O' Salvation|MJZ|Pop Films|Radar Pictures,wiki,search_exact,
96936.0,tt2132285,The Bling Ring,2013-06-12,2013,90.0,Drama|Crime,15000000.0,5845732.0,13300000.0,19145732.0,5.6,66.0,59.0,4 wins & 7 nominations total,American Zoetrope|NALA Films|Pathé,wiki,search_exact,
157386.0,tt1714206,The Spectacular Now,2013-08-02,2013,95.0,Comedy|Drama|Romance,2500000.0,6854611.0,0.0,6854611.0,7.0,82.0,92.0,9 wins & 32 nominations total,Global Produce|21 Laps Entertainment|Andrew Lauren Productions,wiki,search_exact,
181886.0,tt2316411,Enemy,2014-03-14,2014,91.0,Thriller|Mystery,3500000.0,1008726.0,2388000.0,3396726.0,6.9,61.0,73.0,17 wins & 23 nominations total,Rhombus Media|Roxbury Pictures|Mecanismo Films|micro_scope|Entertainment One|Pathé,wiki,search_exact,
97370.0,tt1441395,Under the Skin,2014-03-14,2014,108.0,Thriller|Science Fiction|Drama,13300000.0,2614251.0,4615682.0,7229933.0,6.3,83.0,83.0,Nominated for 2 BAFTA 23 wins & 113 nominations total,Film4 Productions|BFI|Nick Wechsler Productions|JW Films|Sigma Films|Silver Reel|Creative Scotland|Seventh Kingdom Productions,wiki,search_exact,
210479.0,tt2692904,Locke,2014-04-10,2014,85.0,Drama|Thriller,2000000.0,1375769.0,3259531.0,4635300.0,7.1,83.0,91.0,7 wins & 33 nominations total,IM Global|Shoebox Films,wiki,search_exact,
157845.0,tt2345737,The Rover,2014-06-04,2014,103.0,Crime|Drama,12250000.0,1114423.0,1395584.0,2510007.0,6.4,64.0,67.0,3 wins & 19 nominations total,Porchlight Films|Screen Australia|Screen NSW|Blue-Tongue Films|Lava Bear Films|South Australian Film Corporation,wiki,search_exact,
248774.0,tt2910274,Obvious Child,2014-06-06,2014,85.0,Comedy|Romance,1000000.0,3123963.0,0.0,3123963.0,6.7,76.0,90.0,10 wins & 29 nominations total,Sundial Pictures|Votiv Films|Rooks Nest Entertainment,wiki,search_exact,
244566.0,tt2581244,Life After Beth,2014-08-15,2014,89.0,Romance|Comedy|Horror,2400000.0,88273.0,0.0,88273.0,5.7,50.0,46.0,6 nominations total,Abbolita Productions|Starstream Entertainment|Destro Films|American Zoetrope,wiki,search_exact,
244761.0,tt2326612,The Captive,2014-09-05,2014,112.0,Drama|Thriller|Crime,,1075178.0,0.0,1075178.0,5.9,36.0,28.0,1 win & 9 nominations total,The Film Farm|Ego Film Arts,wiki,search_exact,budget_usd
246403.0,tt3099498,Tusk,2014-09-19,2014,102.0,Comedy|Horror,3000000.0,1826705.0,55369.0,1882074.0,5.4,55.0,45.0,2 wins & 7 nominations total,Phase 4 Films|Demarest Films|SModcast Pictures,wiki,search_exact,
244264.0,tt2034031,Laggies,2014-09-25,2014,100.0,Comedy|Drama|Romance,5000000.0,1066981.0,1312173.0,2379154.0,6.4,63.0,64.0,1 win & 1 nomination total,Anonymous Content|Merced Media Partners|PenLife Media,wiki,search_exact,
276902.0,tt1661820,Cut Bank,2014-10-04,2014,94.0,Crime|Drama|Mystery|Thriller,5000000.0,,,288591.0,6.1,44.0,39.0,2 wins & 3 nominations total,Kilburn Media,wiki,search_exact,domestic_gross_usd
294652.0,tt2452200,Son of a Gun,2014-10-16,2014,108.0,Action|Crime|Drama|Thriller,12000000.0,,,660241.0,6.4,49.0,63.0,2 nominations total,Media House Capital|Altitude Film Entertainment|Daydream Productions|Bridle Path Films|Southern Light Films|WBMC|Screen Australia|ScreenWest|Lotterywest|Screen NSW|Hopscotch Entertainment One,wiki,search_exact,domestic_gross_usd
286709.0,tt1396523,Revenge of the Green Dragons,2014-10-31,2014,95.0,Drama|Action|Crime,5000000.0,,,107412.0,5.3,36.0,16.0,,Artfire Films|The 7th Floor|Initial A Entertainment|IM Global Octane|Sikelia Productions|Golden Scene Company Limited,wiki,search_exact,"domestic_gross_usd,awards_raw"
241239.0,tt2937898,A Most Violent Year,2014-12-31,2014,125.0,Crime|Drama|Thriller,20000000.0,5749134.0,6257936.0,12007070.0,6.9,79.0,89.0,15 wins & 52 nominations total,Participant|Image Nation Abu Dhabi|FilmNation Entertainment|Before the Door Pictures|Washington Square Films|Old Bull Pictures|CounterNarrative Films,wiki,search_exact,
264660.0,tt0470752,Ex Machina,2015-01-21,2015,108.0,Drama|Science Fiction,15000000.0,25442958.0,11426456.0,36869414.0,7.7,78.0,92.0,Won 1 Oscar. 74 wins & 162 nominations total,DNA Films|Film4 Productions|IAC Films|Scott Rudin Productions,wiki,search_exact,
681606.0,tt13206992,"NYC, 1981",2015-01-29,2015,6.0,Documentary,,,,,,,,,A24,tmdb,discover_only,"budget_usd,domestic_gross_usd,worldwide_gross_usd,imdb_rating,metascore,rt_critics,awards_raw"
252512.0,tt1791682,While We're Young,2015-03-27,2015,97.0,Comedy|Drama,10000000.0,7587485.0,9699824.0,17287309.0,6.3,77.0,84.0,1 win & 3 nominations total,Scott Rudin Productions|IAC Films,wiki,search_exact,
182560.0,tt2402101,Dark Places,2015-04-08,2015,113.0,Thriller|Mystery|Drama|Crime,20000000.0,208588.0,4882264.0,5090852.0,6.2,39.0,23.0,,Denver & Delilah Productions|Mandalay Vision|Exclusive Media|Hugo Productions|Cuatro Plus Films|Da Vinci Media Ventures|Daryl Prince Productions,wiki,search_exact,awards_raw
248574.0,tt1731701,Barely Lethal,2015-04-23,2015,98.0,Action|Comedy|Adventure|Romance,15000000.0,6075.0,927772.0,933847.0,5.4,44.0,26.0,,RKO Pictures|RatPac Entertainment|Highland Film Group,wiki,search_exact,awards_raw
223485.0,tt3205376,Slow West,2015-05-15,2015,84.0,Western|Drama|Adventure|Romance|Thriller,2000000.0,229094.0,1388428.0,1617522.0,6.9,72.0,92.0,7 wins & 20 nominations total,Film4 Productions|BFI|New Zealand Film Commission|Cross City Films|HanWay Films|DMC Film|See-Saw Films,wiki,search_exact,
331781.0,tt2870648,Amy,2015-07-02,2015,128.0,Documentary|Music,,8413144.0,15293242.0,23706386.0,7.8,85.0,96.0,Won 1 Oscar. 51 wins & 47 nominations total,On the Corner Films|Globe Productions|Film4 Productions,wiki,search_exact,budget_usd
309242.0,tt2349144,Mississippi Grind,2015-07-04,2015,108.0,Comedy|Drama,7100000.0,130541.0,0.0,130541.0,6.4,77.0,91.0,2 wins & 3 nominations total,Electric City Entertainment|Sycamore Pictures|Gowanus Projections,wiki,search_exact,
301875.0,tt3289728,Equals,2015-07-15,2015,102.0,Drama|Romance|Science Fiction,16000000.0,33258.0,2051370.0,2084628.0,6.0,43.0,36.0,1 win & 5 nominations total,Infinite Studios|Freedom Media|Route One Entertainment|Scott Free Productions,wiki,search_exact,
249688.0,tt3416744,The End of the Tour,2015-07-31,2015,106.0,Drama,,3002884.0,0.0,3002884.0,7.2,82.0,92.0,4 wins & 18 nominations total,Anonymous Content|Kilburn Media|Modern Man Films,wiki,search_exact,budget_usd
254320.0,tt3464902,The Lobster,2015-10-15,2015,119.0,Comedy|Drama|Romance,4000000.0,9077245.0,6622755.0,15700000.0,7.1,82.0,87.0,Nominated for 1 Oscar. 33 wins & 84 nominations total,Scarlet Films|Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film|Greek Film Centre|Faliro House Productions|Limp|Film4 Productions|Protagonist Pictures,wiki,search_exact,
